business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
La Densitae Hair Transplant Clinic Thiruvananthapuram,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Cosmetic surgeon, Dermatologist, Skin care clinic",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 96041 19966,https://ladensitae.com/hair-transplant-in-trivandrum/,4.8,482.0,"Seventh Floor, Nikunjam Saras Building, Pattom, Thiruvananthapuram, Keralam 695004",Pattom,8.5194486,76.94220539999999,ChIJRTuz0C67BTsROz3so-0X_Uk,https://www.google.com/maps/place/?q=place_id:ChIJRTuz0C67BTsROz3so-0X_Uk,part_310,2026-09-20 20:16:56,3710
Hair O Craft Aesthetic Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Dermatologist, Hair replacement service",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 91886 28344,https://www.hairocraft.com/,4.7,629.0,"1st Floor, Vipanchika Tower CV Raman Pillai Rd, Thycadu Road, near Government Guest House Road, Vazhuthacaud, Thiruvananthapuram, Keralam 695014",Vazhuthacaud,8.493545,76.9583189,ChIJPRBoNDO6BTsRubPKufHnCLM,https://www.google.com/maps/place/?q=place_id:ChIJPRBoNDO6BTsRubPKufHnCLM,part_310,2026-09-20 20:16:56,3711
"Hair O Dent - Hair Transplant Experts, Trivandrum",Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 85909 61707,https://hairodent.com/,5.0,243.0,"Mangalath building, PO, near Karthika Park Hotel, Kazhakuttam, Vadakkumbhagam, Kazhakkoottam, Thiruvananthapuram, Keralam 695582","Kazhakuttam, Vadakkumbhagam",8.5718664,76.8708813,ChIJtwFIT6K_BTsRJArE833aTtk,https://www.google.com/maps/place/?q=place_id:ChIJtwFIT6K_BTsRJArE833aTtk,part_310,2026-09-20 20:16:56,3712
Hair Tree Trivandrum,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Hair replacement service, Skin care clinic",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 75928 66665,http://hairtreeclinic.com/,4.8,261.0,"Building opposite to UST Global & Infosys Near to Second choice preowned car showroom Bypass service road, PO, Kulathoor, Kazhakkoottam, Keralam 695583",Kulathoor,8.5358602,76.8803125,ChIJiReIMI6_BTsRl5ze_yDgDtc,https://www.google.com/maps/place/?q=place_id:ChIJiReIMI6_BTsRl5ze_yDgDtc,part_310,2026-09-20 20:16:56,3713
Advanced GroHair & GloSkin - Thiruvananthapuram,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 85239 56789,https://grohairtrivandrum.com/,4.8,216.0,"Door No. TC:99/2055, Sree Vinayaka Shopping Complex, near Royaloak Furniture, Chithira Nagar, Kulathoor, Thiruvananthapuram, Keralam 695583","Chithira Nagar, Kulathoor",8.5371227,76.87919529999999,ChIJV6glSwO_BTsRQ1GDFeRhk3g,https://www.google.com/maps/place/?q=place_id:ChIJV6glSwO_BTsRQ1GDFeRhk3g,part_310,2026-09-20 20:16:56,3714
Renew Aesthetics,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Skin care clinic",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 94004 60007,https://renewfaceaesthetics.com/,4.8,148.0,"Nish, Akkulam Bridge, near sfs waterscapes flat, Thiruvananthapuram, Keralam 695583",695019,8.5235934,76.8952446,ChIJL6hQ6eS7BTsRp0eG3HnyE3k,https://www.google.com/maps/place/?q=place_id:ChIJL6hQ6eS7BTsRp0eG3HnyE3k,part_310,2026-09-20 20:16:56,3715
Reborn grafts,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 96052 44641,https://reborngrafts.com/,5.0,68.0,"Reborngrafts, Tc-29/3985, Twinkle plaza, Kalabhavan Mani Rd, Panavila, Thycaud, Thiruvananthapuram, Keralam 695014","Panavila, Thycaud",8.4979145,76.9557674,ChIJjTv4dT67BTsRkFLmPcRwLNk,https://www.google.com/maps/place/?q=place_id:ChIJjTv4dT67BTsRkFLmPcRwLNk,part_310,2026-09-20 20:16:56,3716
Donz Makeover Hair Fixing,Hair Transplant Clinic,Hair replacement service,Hair replacement service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 97785 54500,https://www.donzhairfixingintrivandrum.in/,5.0,271.0,"Susheela square, Mettukada, Thycaud, Thiruvananthapuram, Keralam 695014","Mettukada, Thycaud",8.4901503,76.95835919999999,ChIJbSicSAavBTsR7x0VbSY80ng,https://www.google.com/maps/place/?q=place_id:ChIJbSicSAavBTsR7x0VbSY80ng,part_310,2026-09-20 20:16:56,3717
BrightenUp | Skin Care Clinic,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Facial spa, Skin care clinic, Laser hair removal service",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 81139 00030,https://www.brightenup.in/,4.9,656.0,"Pallichal, Keralam 695020",695019,8.4430968,77.0174639,ChIJTfEemOg92mQRXSv1ov8KSKk,https://www.google.com/maps/place/?q=place_id:ChIJTfEemOg92mQRXSv1ov8KSKk,part_310,2026-09-20 20:16:56,3718
Gateway Hair Fixing,Hair Transplant Clinic,Hair replacement service,Hair replacement service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 93493 13775,https://gatewayhairfixing.com/hairfixing-thiruvananthapuram/,4.8,167.0,"2nd Floor, Bybisa Building, Kailash Nagar, Vivekananda Nagar, Kesavadasapuram, Thiruvananthapuram, Keralam 695004","Kailash Nagar, Vivekananda Nagar, Kesavadasapuram",8.5284892,76.9386948,ChIJa-VIV165BTsRU6MPYKpofSw,https://www.google.com/maps/place/?q=place_id:ChIJa-VIV165BTsRU6MPYKpofSw,part_310,2026-09-20 20:16:56,3719
Hairs Culture,Hair Transplant Clinic,Hair replacement service,Hair replacement service,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 95443 33884,https://www.hairsculture.com/en-in,5.0,24.0,"3rd Floor, CPS Plaza, NH Bypass, Venpalavattom, P.O, Anayara, Venpalavattom, Thiruvananthapuram, Keralam 695029",Venpalavattom,8.5058084,76.9084944,ChIJpUjFbPy9BTsRDNVpjtdiGF4,https://www.google.com/maps/place/?q=place_id:ChIJpUjFbPy9BTsRDNVpjtdiGF4,part_310,2026-09-20 20:16:56,3720
Hair Tree Hair Transplantation & PRP Clinic Kollam,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Hair replacement service, Skin care clinic",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 81291 97999,http://hairtreeclinic.com/,4.9,228.0,"Door No:32/2939-2410, We-Yes Plaza Bypass road, near True value, Thattamala, Mevaram, Kollam, Keralam 691020","Thattamala, Mylapure, Mevaram",8.8715768,76.6423659,ChIJeVrliKPjBTsR7JjEYD7kYBs,https://www.google.com/maps/place/?q=place_id:ChIJeVrliKPjBTsR7JjEYD7kYBs,part_310,2026-09-20 20:16:56,3721
Cosmetiq Hospital,Hair Transplant Clinic,Hair transplantation clinic,"Hair transplantation clinic, Dentist, Dermatologist, Plastic surgeon",695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 99937 77555,https://www.cosmetiq.in/,4.7,538.0,"Arasummodu - Kuzhivila Road, Campus Thamburanmukku, Near Infosys, Thiruvananthapuram, Keralam 695583","Near Infosys, Kulathoor",8.5307216,76.8857675,ChIJ9bMZjhW7BTsRpUoHJ9GmwR0,https://www.google.com/maps/place/?q=place_id:ChIJ9bMZjhW7BTsRpUoHJ9GmwR0,part_310,2026-09-20 20:16:56,3722
HAIR TREE | Hair Transplantation & PRP Clinic in Kochi,Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 90370 24425,http://hairtreeclinic.com/,4.9,592.0,"Palakat's Building, NH-47, near Thykoodam Bridge, Vyttila, Kochi, Keralam 682019","Thykoodam, Vyttila",9.9595249,76.3188792,ChIJSbiWSAhzCDsR9deqdVX6h5A,https://www.google.com/maps/place/?q=place_id:ChIJSbiWSAhzCDsR9deqdVX6h5A,part_310,2026-09-20 20:16:57,3723
"Hair O Dent - Hair Transplant Experts, Kochi",Hair Transplant Clinic,Hair transplantation clinic,Hair transplantation clinic,695019,Kerala Circle,Trivandrum HQ Region,Trivandrum South Division,Industrial Estate SO Thiruvananthapuram,+91 88489 67460,https://hairodent.com/,4.9,1175.0,"Kumaranasaan Junction, Simon Shopping Complex, Kaloor - Kadavanthara Rd, Kochi, Keralam 682017","Gandhi Nagar, Kochi",9.977400699999999,76.2968989,ChIJ_4-bo8RyCDsRDn9gBCtcicw,https://www.google.com/maps/place/?q=place_id:ChIJ_4-bo8RyCDsRDn9gBCtcicw,part_310,2026-09-20 20:16:57,3724
