business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at,s_no
Karma Academy,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 79091 77755,http://karmaeduacademy.com/,4.9,382.0,"Olayil, High School Jun, Kollam, Keralam 691009","Olayil, High School Jun",8.893351599999999,76.5804205,ChIJDxXPyFn9BTsRaZF6acgdD4M,https://www.google.com/maps/place/?q=place_id:ChIJDxXPyFn9BTsRaZF6acgdD4M,part_305,2026-09-20 20:17:03,3412
INSTITUTE OF BANKING STUDIES (IBS),Competitive Exam Coaching (UPSC/Banking),Educational institution,"Educational institution, Banking entrance coaching centre",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94478 73644,https://ibsbankcareer.in/,4.8,2175.0,"2nd & 3rd Floor, 5GG4+62V Centre Point, Kayamkulam - Pathanapuram Rd, Kayamkulam, Keralam 690502",689586,9.175704399999999,76.5049676,ChIJz0_a_EocBjsRa_0mOg-Jvs8,https://www.google.com/maps/place/?q=place_id:ChIJz0_a_EocBjsRa_0mOg-Jvs8,part_305,2026-09-20 20:17:03,3413
Palace PSC Coaching Centre,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 85899 18768,N/A,4.6,14.0,"Panackal Building, MC Rd, Pandalam, Keralam 689501",689586,9.2261875,76.67831249999999,ChIJ4yKl8yIXBjsRn4RkVYuveUE,https://www.google.com/maps/place/?q=place_id:ChIJ4yKl8yIXBjsRn4RkVYuveUE,part_305,2026-09-20 20:17:03,3414
SARATHI IAS ACADEMY (UPSC - MPSC - BANKING CLASSES in Ghatkopar West ),Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 75067 01542,N/A,5.0,128.0,"3rd Floor, Chandra Pushpa Building, Hirachand Desai Rd, opp. New Post Office, Kapol wadi, Ghatkopar West, Mumbai, Maharashtra 400086","Kapol wadi, Ghatkopar West",19.0866619,72.9078193,ChIJv-_4uQrH5zsRkCyWYRTxTp4,https://www.google.com/maps/place/?q=place_id:ChIJv-_4uQrH5zsRkCyWYRTxTp4,part_305,2026-09-20 20:17:03,3415
Aastha Academy,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 97451 77710,N/A,5.0,82.0,"Makkamkunnu, Mannaramala, Pathanamthitta, Keralam 689645","Makkamkunnu, Mannaramala",9.2619775,76.7776576,ChIJiYhECTcVBjsRf-rWEr8K_jU,https://www.google.com/maps/place/?q=place_id:ChIJiYhECTcVBjsRf-rWEr8K_jU,part_305,2026-09-20 20:17:03,3416
"Eduzone, Psc Coaching Centre Adoor",Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94006 52847,https://eduzonepscadoor.dialndial.com/,4.9,208.0,"5P3M+H7Q, Parass La, Adoor, Keralam 691523",Parass La,9.1539629,76.7332454,ChIJSZLZl8URBjsRolB2Lh4twfI,https://www.google.com/maps/place/?q=place_id:ChIJSZLZl8URBjsRolB2Lh4twfI,part_305,2026-09-20 20:17:03,3417
TIPS PSC ACADEMY,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Education center",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94468 33770,https://www.tipspscacademy.in/,4.9,71.0,"23, SREEVALSAM BUILDING, Kidangamparambu - Finishing Point Rd, Kidangamparamp, Thathampally, Alappuzha, Keralam 688013","Kidangamparamp, Thathampally",9.5034982,76.3428663,ChIJ1TrBImeECDsRZ-rEDnJrycw,https://www.google.com/maps/place/?q=place_id:ChIJ1TrBImeECDsRZ-rEDnJrycw,part_305,2026-09-20 20:17:03,3418
Our Group of Institutions,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Educational institution, Consultant, Educational consultant, English language school",689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 94471 40150,http://ourgroup.in/,4.8,287.0,"West Oneway Road, Joys Complex, near ICICI bank, Adoor, Keralam 691523",Parass La,9.157552599999999,76.7299519,ChIJb38-5IYRBjsRjOS8KPD2i0U,https://www.google.com/maps/place/?q=place_id:ChIJb38-5IYRBjsRjOS8KPD2i0U,part_305,2026-09-20 20:17:03,3419
"SMART INSTITUTE OF COMPETITIVE EXAMS PSC, RRB, SSC, CSEB COACHING CENTRE",Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",N/A,N/A,5.0,47.0,"Karamvelil Building, Temple Rd, behind Dhanya Remya Theatre, opposite Devaswom Board, Pathanamthitta, Keralam 689645",689586,9.265443,76.7889416,ChIJcVM1oToVBjsRnO5iwHCLxdI,https://www.google.com/maps/place/?q=place_id:ChIJcVM1oToVBjsRnO5iwHCLxdI,part_305,2026-09-20 20:17:03,3420
IBFS - Institute of Banking and Financial Studies,Competitive Exam Coaching (UPSC/Banking),Banking entrance coaching centre,Banking entrance coaching centre,689586,Kerala Circle,Trivandrum HQ Region,Tiruvalla Division,"Ezhumattoor SO, Chalappally BO",+91 98470 36443,https://www.urvaraacademy.com/,5.0,38.0,"Changanassery, Keralam 686101",689586,9.4497316,76.53872199999999,ChIJ3ULMjA8mBjsRFaE2FUl6MuI,https://www.google.com/maps/place/?q=place_id:ChIJ3ULMjA8mBjsRFaE2FUl6MuI,part_305,2026-09-20 20:17:03,3421
