business_name,search_category,primary_category,all_categories,pincode,circle,region,division,major_offices,phone_number,website,rating,reviews_count,address,area,latitude,longitude,place_id,place_url,part_id,crawled_at
Ram IAS Academy,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Educational institution, Learning center, Test preparation center, Training center, Tutoring service",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 83688 53795,https://ramias.org/,4.8,,"Second Floor, Commercial Complex, B-10, near Police Booth, Mukherjee Nagar, New Delhi, Delhi, 110009",Mukherjee Nagar,28.711070199999998,77.2149658,ChIJy0dcQZJfDg8RzqujgqNPyb8,https://www.google.com/maps/place/?q=place_id:ChIJy0dcQZJfDg8RzqujgqNPyb8,part_301,2026-09-20 20:37:51
VIJAY ACADEMY DEHRADUN (Best SSC / BANK / CDS / ALL ONE DAY COMPETITIVE EXAM PREPARATION),Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Education center, Training center",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 70783 65312,https://www.vijayacademy.org/,4.8,,"33/33 D.B.S college road, Chironwali, Dehradun, Uttarakhand 248001",Chironwali,30.330053999999997,78.05829229999999,ChIJXyQAus4pCTkR6EnD58XfNpA,https://www.google.com/maps/place/?q=place_id:ChIJXyQAus4pCTkR6EnD58XfNpA,part_301,2026-09-20 20:37:51
ExamQuest || Online Coaching for UPSC CSE (IAS),Competitive Exam Coaching (UPSC/Banking),Educational institution,Educational institution,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 98684 41105,https://www.examquest.org/,5.0,,"Pocket 1, Sector-20, Sector 20, Rohini, New Delhi, Delhi, 110086","Pocket 1, Sector-20, Sector 20, Rohini",28.709249099999997,77.06659859999999,ChIJQ1yfzcYHDTkRb2RLV1HLDbk,https://www.google.com/maps/place/?q=place_id:ChIJQ1yfzcYHDTkRb2RLV1HLDbk,part_301,2026-09-20 20:37:51
STUDY CAMPUS,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 77000 08850,http://studycampus.in/,4.8,,"407/B, Vertex Vikas Building, Metro Gate Exit # 4, Andheri (East), above Anupam Stationery, Mumbai, Maharashtra 400069",Andheri East,19.119911899999998,72.8490324,ChIJ9dvMANPJ5zsRRxPS-GhY7b4,https://www.google.com/maps/place/?q=place_id:ChIJ9dvMANPJ5zsRRxPS-GhY7b4,part_301,2026-09-20 20:37:51
Chanakya’s Coaching Centre Chandigarh,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Education center",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 99887 78724,https://chanakyascoachingcentre.com/,4.8,,"3rd Floor, SCO 114-115, Sector 34A, Sector 34, Chandigarh, 160022","Sector 34A, Sector 34",30.7223151,76.7685523,ChIJAdceYJbtDzkRTxNEpwBOGic,https://www.google.com/maps/place/?q=place_id:ChIJAdceYJbtDzkRTxNEpwBOGic,part_301,2026-09-20 20:37:52
The Eklavya IAS Academy (MPSC UPSC NDA classes in panvel),Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Civil examinations academy, Education center, Training center",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 75067 01542,https://ekalavyaiasacademy.com/,4.9,,"Office No A-18, Omkar Arcade, opp. Railway Station, Sector 15A, New Panvel East, Panvel, Maharashtra 410206","Sector 15A, New Panvel East, Panvel",18.991715799999998,73.1232517,ChIJpUtnxxXp5zsRYgk04q9FZxo,https://www.google.com/maps/place/?q=place_id:ChIJpUtnxxXp5zsRYgk04q9FZxo,part_301,2026-09-20 20:37:53
Shri Ram IAS Study Centre,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Educational institution",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 88829 39805,https://www.shriramias.in/,4.6,,"58, 1st Floor, Indra Vihar, opposite of Rajiv Gandhi Hostel For Girls, DU, Delhi, 110009","DU, Mukherjee Nagar",28.7064918,77.2124982,ChIJKydyJOH9DDkRKLENzUxHRPM,https://www.google.com/maps/place/?q=place_id:ChIJKydyJOH9DDkRKLENzUxHRPM,part_301,2026-09-20 20:37:53
ExamShala Vadodara Branch,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Charter school, Education center, Police academy",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 75740 00311,http://www.examshala.org/,4.9,551.0,"1 St Floor, Royal Plaza, near Seven Seas, Jayesh Colony, Fatehgunj, Vadodara, Gujarat 390008","Jayesh Colony, Fatehgunj",22.3229737,73.1876108,ChIJpyVH82LPXzkRZ0dgZTvW5cU,https://www.google.com/maps/place/?q=place_id:ChIJpyVH82LPXzkRZ0dgZTvW5cU,part_301,2026-09-20 20:37:54
IACE - Bank/SSC/RRB Coaching in Visakhapatnam,Competitive Exam Coaching (UPSC/Banking),Coaching Center,Coaching Center,686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 91000 61891,http://iace.co.in/,4.9,9607.0,"47-10-24/25, 2nd Floor, Above Axis Bank 2nd Lane, Dwarakanagar Rd, Sagar Nagar, Dwaraka Nagar, Visakhapatnam, Andhra Pradesh 530016","Sagar Nagar, Dwaraka Nagar",17.7269692,83.3048261,ChIJdVbrtU5DOToRqJdcrZB22fw,https://www.google.com/maps/place/?q=place_id:ChIJdVbrtU5DOToRqJdcrZB22fw,part_301,2026-09-20 20:37:54
LK Academy,Competitive Exam Coaching (UPSC/Banking),Coaching Center,"Coaching Center, Banking entrance coaching centre, Civil examinations academy, Education center, Studying center",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 94276 54666,https://lkacademy.in/,4.9,776.0,"301, 3rd Floor, Profit Centre, Kala Ghoda Cir, Opposite M.S. University, Sarod, Sayajiganj, Vadodara, Gujarat 390007","Opposite M.S. University, Sarod, Sayajiganj",22.3084982,73.1873705,ChIJI8ZvxGDJXzkRjUm6oYBGpfg,https://www.google.com/maps/place/?q=place_id:ChIJI8ZvxGDJXzkRjUm6oYBGpfg,part_301,2026-09-20 20:37:54
Aspire 360 Coaching Institute,Competitive Exam Coaching (UPSC/Banking),Civil examinations academy,"Civil examinations academy, Banking entrance coaching centre, Educational institution",686560,Kerala Circle,Kochi Region,Kottayam Division,Priyadarsini Hills SO,+91 91758 23321,https://www.aspire360.info/,5.0,164.0,"Office no 6 first floor, Gokul building, Dnyaneshwar Paduka Chowk, Ferguson College Rd, above Airtel store, Sud Nagar, Shivajinagar, Pune, Maharashtra 411005","Sud Nagar, Shivajinagar",18.5264827,73.8421233,ChIJzfiIBATBwjsRNpEf4X61rU8,https://www.google.com/maps/place/?q=place_id:ChIJzfiIBATBwjsRNpEf4X61rU8,part_301,2026-09-20 20:37:54
